bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,unit,zestimate,zipcode,zpid,datePriceChanged,priceChange,priceReduction,neighboorhood,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,videoCount
1.0,1.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.28427,838.0,-71.143295,sqft,5663.0,1950.0,1950.0,2026.0,False,MA,72 Montvale St #1,320800.0,# 1,409200.0,02131,71495285.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.28189,918.0,-71.12778,,,2300.0,2300.0,2211.0,False,MA,8 Augustus Ave #1,,# 1,,02131,2072081067.0,,,,"Roslindale, MA",,,,
1.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,False,True,False,False,False,False,False,42.28486,,-71.11523,,,3200.0,3200.0,,False,MA,44 Charme Ave,,,,02131,2061674620.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.289875,1000.0,-71.13286,,,2500.0,2500.0,2129.0,False,MA,39 Walter St FLOOR 1,,Floor 1,,02131,2077784147.0,,,,"Roslindale, MA",,,,
1.0,1.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,,100.0,,,,2225.0,2225.0,,False,MA,(undisclosed Address),,,,02131,2061715121.0,,,,"Roslindale, MA",,,,
2.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.286247,1058.0,-71.14486,,,3140.0,3140.0,,False,MA,317 Belgrade Ave APT 404,,Apt 404,,02131,2061929249.0,,,,"Roslindale, MA",,,,
1.5,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.28883,1100.0,-71.12223,,,2795.0,2795.0,2699.0,False,MA,41 Stellman Rd #2,,# 2,,02131,2089625047.0,,,,"Roslindale, MA",,,,
1.0,1.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.29235,700.0,-71.122475,,,2100.0,2100.0,1800.0,False,MA,6 Lesher St APT 2R,,Apt 2R,,02131,2099589762.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.28914,934.0,-71.12381,,,2400.0,2400.0,2165.0,False,MA,19 Stellman Rd #3,372100.0,# 3,499100.0,02131,247150599.0,1661151600000.0,-100.0,$100 (Aug 22),"Roslindale, MA",,,,
2.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.28589,,-71.1445,,,2950.0,2950.0,,False,MA,316 Belgrade Ave #207,,# 207,,02131,2061843064.0,,,,"Roslindale, MA",,,,
1.0,1.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.28315,800.0,-71.13586,,,2000.0,2000.0,,False,MA,10 Havey St #1,,# 1,,02131,2069703310.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.28985,1200.0,-71.14004,sqft,4791.0,2000.0,2000.0,2129.0,False,MA,67 Bradfield Ave,808700.0,,,02131,59142819.0,,,,"Roslindale, MA",,,,
1.5,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,,1100.0,,,,2795.0,2795.0,,False,MA,(undisclosed Address),,,,02131,2062322114.0,,,,"Roslindale, MA",,,,
2.0,3.0,Boston,USA,USD,-1.0,FOR_RENT,FOR_RENT,TOWNHOUSE,False,True,False,False,False,False,False,42.28782,1585.0,-71.127686,sqft,1742.0,3600.0,3600.0,3300.0,False,MA,27 Tafthill Ter UNIT 6,,Unit 6,712300.0,02131,2102588223.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.277897,1020.0,-71.12809,,,2550.0,2550.0,2400.0,False,MA,189 Metropolitan Ave APT 1,,Apt 1,,02131,2082885558.0,,,,"Roslindale, MA",,,,
1.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.285587,1300.0,-71.142,,,2500.0,2500.0,,False,MA,11 Ardent St APT 2,,Apt 2,,02131,2062553006.0,,,,"Roslindale, MA",,,,
2.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,False,True,False,False,False,False,False,42.28561,1700.0,-71.13231,sqft,4791.0,3800.0,3800.0,2728.0,False,MA,40 Amherst St,462500.0,,679500.0,02131,59143255.0,,,,"Roslindale, MA",,,,
2.0,3.0,Boston,USA,USD,-1.0,FOR_RENT,FOR_RENT,TOWNHOUSE,True,True,False,False,False,False,False,42.28098,9999.0,-71.13333,,,3400.0,3400.0,2999.0,False,MA,47 Metropolitan Ave #2,,# 2,830100.0,02131,2083399458.0,,,,"Roslindale, MA",,,,
3.5,4.0,Boston,USA,USD,-1.0,FOR_RENT,FOR_RENT,TOWNHOUSE,False,True,False,False,False,False,False,42.285625,2400.0,-71.14726,sqft,2178.0,3800.0,3800.0,3750.0,False,MA,31 Anawan Ave,570700.0,,785100.0,02132,59162142.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.289955,1614.0,-71.13874,sqft,1742.0,2800.0,2800.0,2300.0,False,MA,63 Congreve St #1,417200.0,# 1,564200.0,02131,71495355.0,,,,"Roslindale, MA",,,,
2.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.28425,1300.0,-71.142204,sqft,6534.0,2700.0,2700.0,2699.0,False,MA,64 Colberg Ave,674900.0,,,02131,59143386.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.270515,1764.0,-71.12987,,,2400.0,2400.0,2440.0,False,MA,55 Grew Hill Rd #2,,# 2,,02131,2108918960.0,,,,"Roslindale, MA",,,,
1.5,4.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.278934,2800.0,-71.12838,,,4600.0,4600.0,,False,MA,162 Metropolitan Ave #162,,# 162,,02131,2061920738.0,,,,"Roslindale, MA",,,,
1.5,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,False,True,False,False,False,False,False,42.285767,1326.0,-71.11657,sqft,3920.0,3200.0,3200.0,2799.0,False,MA,21 Sammett Ave,433700.0,,584000.0,02131,59141393.0,,,,"Roslindale, MA",,,,
2.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.28623,1000.0,-71.14485,sqft,9583.0,2950.0,2950.0,1732.0,False,MA,317 Belgrade Ave,953132.0,,,02131,318224146.0,,,,"Roslindale, MA",,,,
2.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.29138,1350.0,-71.12337,,,3300.0,3300.0,,False,MA,4045 Washington St #2A,,# 2A,,02131,2062100419.0,,,,"Roslindale, MA",,,,
1.0,2.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.284412,1100.0,-71.13438,,,2550.0,2550.0,2100.0,False,MA,95 Roslindale Ave #1,,# 1,,02131,2102969342.0,,,,"Roslindale, MA",,,,
2.0,5.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.289078,2600.0,-71.1404,,,5000.0,5000.0,3625.0,False,MA,39 Ainsworth St FLOOR 2,,Floor 2,,02131,2079704334.0,1660546800000.0,-100.0,$100 (Aug 15),"Roslindale, MA",,,,
1.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.285873,1275.0,-71.14339,,,2900.0,2900.0,2314.0,False,MA,292 Belgrade Ave #3,,# 3,,02131,2095805238.0,1658041200000.0,700.0,,"Roslindale, MA",,,,
1.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,,1275.0,,,,2900.0,2900.0,2300.0,False,MA,(undisclosed Address),,,,02131,2102925253.0,1657782000000.0,900.0,,"Roslindale, MA",,,,
2.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.28056,1200.0,-71.1258,,,2800.0,2800.0,2849.0,False,MA,5 Delano Park FLOOR 2,,Floor 2,,02131,2072643143.0,,,,"Roslindale, MA",,,,
1.0,2.0,Boston,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.28759,1000.0,-71.13761,,,3400.0,3400.0,2199.0,False,MA,954 South St #1,,# 1,,02131,2097541740.0,1659164400000.0,-200.0,$200 (Jul 30),"Roslindale, MA",,,,
1.0,3.0,Roslindale,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.283558,1371.0,-71.12068,,,2900.0,2900.0,,False,MA,35 Rowe St #2,,# 2,,02131,2063173633.0,1659682800000.0,-50.0,$50 (Aug 5),"Roslindale, MA",,,,
1.5,2.0,Jamaica Plain,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,,987.0,,sqft,871.0,2800.0,2800.0,2734.0,False,MA,(undisclosed Address),,,668700.0,02130,103864813.0,,,,"Jamaica Plain, MA",,,,
1.0,2.0,Jamaica Plain,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,,,,,,3850.0,3850.0,,False,MA,(undisclosed Address),,,,02130,2061673394.0,,,,"Jamaica Plain, MA",,,,
1.0,1.0,Roxbury,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,42.322887,670.0,-71.09881,,,2450.0,2450.0,,False,MA,225 Centre St #D9A33252C,,# d9a33252c,,02119,2066754091.0,1657004400000.0,450.0,,"Jamaica Plain, MA",,,,
2.0,3.0,Jamaica Plain,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,,1392.0,,,,5350.0,5350.0,,False,MA,(undisclosed Address),,,,02130,2061675983.0,,,,"Jamaica Plain, MA",,,,
1.0,1.0,Jamaica Plain,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,False,True,False,False,False,False,False,42.309647,800.0,-71.112175,acres,0.4099862258953168,2200.0,2200.0,1782.0,False,MA,36 Greenough Ave,2155600.0,,,02130,59133852.0,,,,"Jamaica Plain, MA",,,,
1.0,1.0,Jamaica Plain,USA,USD,-1.0,FOR_RENT,FOR_RENT,APARTMENT,True,True,False,False,False,False,False,,696.0,,,,3018.0,3018.0,2565.0,False,MA,3686 Washington St #1301,,# 1301,,02130,2073668226.0,1662361200000.0,8.0,,"Jamaica Plain, MA",,,,
